sample_name	age	age_group	age_unit	altitude	anonymized_name	assigned_from_geo	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	common_name	country	depth	description	elevation	env_biome	env_feature	env_matter	has_extracted_data	has_physical_specimen	host_common_name	host_scientific_name	host_subject_id	host_taxid	larval_tetracycline	latitude	longitude	physical_location	public	required_sample_info_status	sample_name_in_tube	sample_type	sex	taxon_id	title	village
1064.G.CJV171	unknown	drone	days	0	G.CJV171	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-22 00:00:00	yes	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV171	7460	yes	18.22	-65.99	XXQIITAXX	y	completed	143	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV172	unknown	drone	days	0	G.CJV172	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-24 00:00:00	yes	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV172	7460	yes	18.22	-65.99	XXQIITAXX	y	completed	145	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV173	unknown	drone	days	0	G.CJV173	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-24 00:00:00	yes	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV173	7460	yes	18.22	-65.99	XXQIITAXX	y	completed	147	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV174	unknown	drone	days	0	G.CJV174	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2008-10-25 00:00:00	yes	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV174	7460	yes	18.22	-65.99	XXQIITAXX	y	completed	149	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV175	unknown	drone	days	0	G.CJV175	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	yes	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV175	7460	yes	18.22	-65.99	XXQIITAXX	y	completed	151	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV176	unknown	drone	days	0	G.CJV176	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	yes	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV176	7460	yes	18.22	-65.99	XXQIITAXX	y	completed	153	XXQIITAXX	male	749906	Bee_Microbiome	Gurabo
1064.G.CJV189	5	nurse	days	0	G.CJV189	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-11 00:00:00	no	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV189	7460	no	18.22	-65.99	XXQIITAXX	y	completed	179	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV190	5	nurse	days	0	G.CJV190	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	no	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV190	7460	no	18.22	-65.99	XXQIITAXX	y	completed	181	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV191	5	nurse	days	0	G.CJV191	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	no	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV191	7460	no	18.22	-65.99	XXQIITAXX	y	completed	183	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
1064.G.CJV192	5	nurse	days	0	G.CJV192	y	UBERON:multi-cellular organism	UBERON:tissue	UBERON:intestine	2011-07-12 00:00:00	no	gut metagenome	GAZ:Puerto Rico	0	Whole intestine tissue, with food content.	43.1	ENVO:village biome	ENVO:insecta-associated habitat	ENVO:organic material	True	True	honey bee	Apis mellifera	G-CJV192	7460	no	18.22	-65.99	XXQIITAXX	y	completed	185	XXQIITAXX	female	749906	Bee_Microbiome	Gurabo
